DOLocationID,Borough,Zone,service_zone,avg,median,count
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0.2015531771322461,0.1999999999999999,394.0
40,Brooklyn,Carroll Gardens,Boro Zone,0.1952884454647095,0.1999999999999999,5341.0
54,Brooklyn,Columbia Street,Boro Zone,0.1948516442176081,0.1999999999999999,1236.0
112,Brooklyn,Greenpoint,Boro Zone,0.1937797416659102,0.1999999999999999,8395.0
223,Queens,Steinway,Boro Zone,0.193433614016855,0.1999999999999999,7194.0
181,Brooklyn,Park Slope,Boro Zone,0.1930398043724525,0.1999999999999999,12334.0
138,Queens,LaGuardia Airport,Airports,0.1921017492447928,0.1998958875585632,55311.0
52,Brooklyn,Cobble Hill,Boro Zone,0.1914525334077184,0.1999999999999999,3421.0
33,Brooklyn,Brooklyn Heights,Boro Zone,0.1913110659764346,0.1999999999999999,10455.0
7,Queens,Astoria,Boro Zone,0.1906118121769722,0.1999999999999999,12750.0
257,Brooklyn,Windsor Terrace,Boro Zone,0.1904123078842854,0.1999128919860627,2327.0
179,Queens,Old Astoria,Boro Zone,0.1891741750932717,0.1999999999999999,4793.0
202,Manhattan,Roosevelt Island,Boro Zone,0.1888842820519811,0.1999999999999999,1701.0
8,Queens,Astoria Park,Boro Zone,0.1888367332662791,0.1999999999999999,101.0
189,Brooklyn,Prospect Heights,Boro Zone,0.1887011721248362,0.1999999999999999,3666.0
145,Queens,Long Island City/Hunters Point,Boro Zone,0.1877751076134145,0.1999999999999999,11006.0
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0.1877685797498119,0.1999999999999999,31064.0
106,Brooklyn,Gowanus,Boro Zone,0.1873893918671453,0.1999999999999999,1882.0
125,Manhattan,Hudson Sq,Yellow Zone,0.1869126570411269,0.1999999999999999,9350.0
190,Brooklyn,Prospect Park,Boro Zone,0.1867590082209382,0.1999999999999999,622.0
43,Manhattan,Central Park,Yellow Zone,0.1865010808631513,0.1999999999999999,21216.0
80,Brooklyn,East Williamsburg,Boro Zone,0.1855295995958106,0.1999999999999999,5480.0
249,Manhattan,West Village,Yellow Zone,0.1854606547140431,0.1999999999999999,31276.0
255,Brooklyn,Williamsburg (North Side),Boro Zone,0.1852165278598423,0.1999999999999999,9725.0
113,Manhattan,Greenwich Village North,Yellow Zone,0.1847669668292162,0.1999999999999999,23036.0
146,Queens,Long Island City/Queens Plaza,Boro Zone,0.1845560620932447,0.1999999999999999,4044.0
239,Manhattan,Upper West Side South,Yellow Zone,0.1844900809657252,0.1999999999999999,57034.0
256,Brooklyn,Williamsburg (South Side),Boro Zone,0.1844568896057829,0.1999999999999999,7344.0
24,Manhattan,Bloomingdale,Yellow Zone,0.1842546455399854,0.1999999999999999,9930.0
142,Manhattan,Lincoln Square East,Yellow Zone,0.1840965989520145,0.1999999999999999,46157.0
151,Manhattan,Manhattan Valley,Yellow Zone,0.1838032738982676,0.1999999999999999,23384.0
100,Manhattan,Garment District,Yellow Zone,0.1836232256962668,0.1999348746336698,14126.0
90,Manhattan,Flatiron,Yellow Zone,0.1834971073724655,0.1999999999999999,29214.0
163,Manhattan,Midtown North,Yellow Zone,0.1833320486796463,0.1999348746336698,30531.0
49,Brooklyn,Clinton Hill,Boro Zone,0.1830950756832612,0.1999999999999999,6085.0
238,Manhattan,Upper West Side North,Yellow Zone,0.1830550246003263,0.1999999999999999,52151.0
25,Brooklyn,Boerum Hill,Boro Zone,0.1829603743239788,0.1999999999999999,6727.0
166,Manhattan,Morningside Heights,Boro Zone,0.1826916782751922,0.1999999999999999,21698.0
114,Manhattan,Greenwich Village South,Yellow Zone,0.1825990090039232,0.1999999999999999,15559.0
158,Manhattan,Meatpacking/West Village West,Yellow Zone,0.182377129993318,0.1999999999999999,18043.0
211,Manhattan,SoHo,Yellow Zone,0.1822311761734112,0.1999999999999999,10755.0
237,Manhattan,Upper East Side South,Yellow Zone,0.1821738507027008,0.1999999999999999,52354.0
230,Manhattan,Times Sq/Theatre District,Yellow Zone,0.1821727519561932,0.1999109528049866,35996.0
162,Manhattan,Midtown East,Yellow Zone,0.182118914082436,0.1999010390895596,49257.0
226,Queens,Sunnyside,Boro Zone,0.1818298295268118,0.1999999999999999,6322.0
236,Manhattan,Upper East Side North,Yellow Zone,0.181693081536813,0.1999999999999999,76365.0
68,Manhattan,East Chelsea,Yellow Zone,0.1815511302137171,0.1999393203883495,39588.0
164,Manhattan,Midtown South,Yellow Zone,0.1810579822260737,0.1999057048561999,25568.0
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,0.1809602472486384,0.1999348746336698,8910.0
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,0.1809551766329911,0.1999999999999999,12074.0
234,Manhattan,Union Sq,Yellow Zone,0.1809358655718019,0.1999348746336698,40138.0
48,Manhattan,Clinton East,Yellow Zone,0.1808511477278528,0.1999348746336698,40262.0
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0.1808477693245481,0.1999999999999999,4815.0
170,Manhattan,Murray Hill,Yellow Zone,0.1803493051483433,0.1999078765545831,47398.0
132,Queens,JFK Airport,Airports,0.1802660653423491,0.1999326825984517,38354.0
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,0.1797269113613458,0.1999999999999999,6411.0
161,Manhattan,Midtown Center,Yellow Zone,0.1796795831298005,0.1998985286656519,46952.0
260,Queens,Woodside,Boro Zone,0.1795890253655,0.1999999999999999,2826.0
263,Manhattan,Yorkville West,Yellow Zone,0.1795583067083391,0.199883788495061,53902.0
95,Queens,Forest Hills,Boro Zone,0.1795106995768436,0.1999278238902923,5875.0
141,Manhattan,Lenox Hill West,Yellow Zone,0.1795005985394762,0.1998931052912881,52540.0
107,Manhattan,Gramercy,Yellow Zone,0.1793851019647121,0.1999147485080989,42928.0
12,Manhattan,Battery Park,Yellow Zone,0.1792004454839418,0.1999999999999999,1441.0
262,Manhattan,Yorkville East,Yellow Zone,0.1791398496179808,0.1998706338939197,30417.0
143,Manhattan,Lincoln Square West,Yellow Zone,0.179100270008672,0.1999147485080989,23887.0
79,Manhattan,East Village,Yellow Zone,0.1790295493486709,0.1999999999999999,44019.0
261,Manhattan,World Trade Center,Yellow Zone,0.1789435404566046,0.1999348746336698,12025.0
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,0.1789340122704227,0.1998931052912881,33223.0
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,0.1780572904856826,0.1999214454045561,33042.0
36,Brooklyn,Bushwick North,Boro Zone,0.1778506528214893,0.1999078765545831,2575.0
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,0.1776636272447589,0.1999128919860627,34331.0
233,Manhattan,UN/Turtle Bay South,Yellow Zone,0.1774788357835694,0.1996336996336996,30500.0
50,Manhattan,Clinton West,Yellow Zone,0.1770159041687362,0.1999119330691325,19305.0
97,Brooklyn,Fort Greene,Boro Zone,0.1769450782118761,0.1999999999999999,5552.0
148,Manhattan,Lower East Side,Yellow Zone,0.1766063328439447,0.1999393203883495,14365.0
140,Manhattan,Lenox Hill East,Yellow Zone,0.176368016412014,0.1996402877697841,35890.0
70,Queens,East Elmhurst,Boro Zone,0.1762435839925069,0.1998958875585632,1831.0
13,Manhattan,Battery Park City,Yellow Zone,0.1762293651463624,0.1996466431095406,27708.0
133,Brooklyn,Kensington,Boro Zone,0.1760428997507144,0.1998901702361339,1386.0
195,Brooklyn,Red Hook,Boro Zone,0.1757253779780787,0.199885452462772,1916.0
243,Manhattan,Washington Heights North,Boro Zone,0.1756257532504269,0.1998886414253897,7419.0
209,Manhattan,Seaport,Yellow Zone,0.1750269811783489,0.1999206664022213,8527.0
88,Manhattan,Financial District South,Yellow Zone,0.1746991138597541,0.1997126436781609,13439.0
87,Manhattan,Financial District North,Yellow Zone,0.1745146732085297,0.1996466431095406,27072.0
37,Brooklyn,Bushwick South,Boro Zone,0.1744117273836813,0.1999999999999999,3736.0
116,Manhattan,Hamilton Heights,Boro Zone,0.1732054973220871,0.1998706338939197,10036.0
137,Manhattan,Kips Bay,Yellow Zone,0.172633409483487,0.1994464343861934,28136.0
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,0.1724097531405194,0.1999999999999999,122.0
10,Queens,Baisley Park,Boro Zone,0.1721533192619838,0.1999999999999999,2108.0
4,Manhattan,Alphabet City,Yellow Zone,0.1717259000993455,0.1994818652849741,8201.0
228,Brooklyn,Sunset Park West,Boro Zone,0.1715049075146776,0.1998685075608152,2594.0
45,Manhattan,Chinatown,Yellow Zone,0.1709918423163531,0.1998191681735985,4116.0
129,Queens,Jackson Heights,Boro Zone,0.1704336684089491,0.1998870694522868,4948.0
157,Queens,Maspeth,Boro Zone,0.1703314998220321,0.1999348746336698,1195.0
41,Manhattan,Central Harlem,Boro Zone,0.1700738717245574,0.1996124031007752,17832.0
244,Manhattan,Washington Heights South,Boro Zone,0.1699108428486368,0.1996904024767802,14116.0
17,Brooklyn,Bedford,Boro Zone,0.1698844427736451,0.1999999999999999,4292.0
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,0.1695313502162017,0.1996197718631178,8397.0
127,Manhattan,Inwood,Boro Zone,0.1691852164573313,0.1998945147679325,3287.0
93,Queens,Flushing Meadows-Corona Park,Boro Zone,0.1690045910980357,0.1998985286656519,758.0
75,Manhattan,East Harlem South,Boro Zone,0.168726611800431,0.1994535519125683,32546.0
152,Manhattan,Manhattanville,Boro Zone,0.1683945605422336,0.1998901702361339,4832.0
134,Queens,Kew Gardens,Boro Zone,0.1683055783964779,0.1999147485080989,1423.0
74,Manhattan,East Harlem North,Boro Zone,0.1681106940468092,0.1995192307692308,25351.0
160,Queens,Middle Village,Boro Zone,0.1680688171302125,0.1998886414253897,1134.0
83,Queens,Elmhurst/Maspeth,Boro Zone,0.1667758239375714,0.1998820754716981,1078.0
61,Brooklyn,Crown Heights North,Boro Zone,0.1665895382042504,0.1999089253187613,5951.0
28,Queens,Briarwood/Jamaica Hills,Boro Zone,0.1665893437766708,0.1999999999999999,1437.0
198,Queens,Ridgewood,Boro Zone,0.1661988251526766,0.1998706338939197,1832.0
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,0.1640319302537883,0.1997885835095137,3663.0
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,0.1638354798009452,0.1995359628770301,1447.0
227,Brooklyn,Sunset Park East,Boro Zone,0.163127270288199,0.1997716894977169,908.0
102,Queens,Glendale,Boro Zone,0.1623019556373617,0.1997041420118343,532.0
193,Queens,Queensbridge/Ravenswood,Boro Zone,0.1622115017926732,0.1987179487179487,1611.0
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,0.1619323832076413,0.1997971602434077,2868.0
14,Brooklyn,Bay Ridge,Boro Zone,0.1616943069143481,0.1997578692493946,3596.0
225,Brooklyn,Stuyvesant Heights,Boro Zone,0.1612467996637323,0.1997354497354497,3050.0
1,EWR,Newark Airport,EWR,0.1609130987683722,0.1998922413793103,1373.0
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,0.1596182541742415,0.1995239428731447,1960.0
219,Queens,Springfield Gardens South,Boro Zone,0.1584191422897506,0.1994535519125683,961.0
62,Brooklyn,Crown Heights South,Boro Zone,0.1577740190272059,0.1997389033942558,1495.0
252,Queens,Whitestone,Boro Zone,0.1571482733330072,0.1998269896193771,644.0
64,Queens,Douglaston,Boro Zone,0.1564755846320313,0.1997455470737913,355.0
128,Manhattan,Inwood Hill Park,Boro Zone,0.1559644008710296,0.1996644295302013,316.0
98,Queens,Fresh Meadows,Boro Zone,0.1555088783530091,0.1997041420118343,787.0
42,Manhattan,Central Harlem North,Boro Zone,0.1554382313116683,0.1994638915168716,13798.0
135,Queens,Kew Gardens Hills,Boro Zone,0.1544328408975074,0.1997455470737913,1506.0
196,Queens,Rego Park,Boro Zone,0.1537989513241376,0.1995192307692308,1613.0
53,Queens,College Point,Boro Zone,0.1534491867780726,0.1997167138810198,503.0
31,Bronx,Bronx Park,Boro Zone,0.1533675806359002,0.1999034282955094,259.0
120,Manhattan,Highbridge Park,Boro Zone,0.1522708582556905,0.1995798319327731,118.0
73,Queens,East Flushing,Boro Zone,0.15129523689625,0.1997206703910614,276.0
201,Queens,Rockaway Park,Boro Zone,0.1495544125650768,0.1995870612525808,253.0
194,Manhattan,Randalls Island,Yellow Zone,0.1490734440953507,0.1985482493595217,519.0
216,Queens,South Ozone Park,Boro Zone,0.1486959188535451,0.1992481203007519,2017.0
82,Queens,Elmhurst,Boro Zone,0.1473709218796206,0.1991150442477876,1927.0
247,Bronx,West Concourse,Boro Zone,0.1458106107090498,0.1993919885550787,1288.0
180,Queens,Ozone Park,Boro Zone,0.1424026455945515,0.1994047619047619,244.0
67,Brooklyn,Dyker Heights,Boro Zone,0.1401621111710471,0.1834319526627219,659.0
121,Queens,Hillcrest/Pomonok,Boro Zone,0.1391163687748997,0.19917914051183,1051.0
124,Queens,Howard Beach,Boro Zone,0.1389586474611179,0.1994949494949495,495.0
192,Queens,Queensboro Hill,Boro Zone,0.1383717831672011,0.1990790899241603,360.0
15,Queens,Bay Terrace/Fort Totten,Boro Zone,0.1372340006086798,0.1994180075316672,446.0
153,Manhattan,Marble Hill,Boro Zone,0.1372098214556847,0.1991525423728813,226.0
92,Queens,Flushing,Boro Zone,0.1367118269810934,0.1857585139318885,1440.0
258,Queens,Woodhaven,Boro Zone,0.1349622662783225,0.182648401826484,749.0
16,Queens,Bayside,Boro Zone,0.1339250494797552,0.1992675570874623,717.0
171,Queens,Murray Hill-Queens,Boro Zone,0.1338189297355917,0.1772421127259837,604.0
175,Queens,Oakland Gardens,Boro Zone,0.1319770491099735,0.1630434782608695,400.0
63,Brooklyn,Cypress Hills,Boro Zone,0.1318966731654004,0.1322751322751323,379.0
217,Brooklyn,South Williamsburg,Boro Zone,0.1302642254273435,0.1554285714285714,589.0
9,Queens,Auburndale,Boro Zone,0.1301582872113188,0.1891252955082742,522.0
203,Queens,Rosedale,Boro Zone,0.1296249583394977,0.155440414507772,492.0
131,Queens,Jamaica Estates,Boro Zone,0.1294174857610291,0.1623376623376623,794.0
85,Brooklyn,Erasmus,Boro Zone,0.1289365486694721,0.149862258953168,543.0
173,Queens,North Corona,Boro Zone,0.1284071963739835,0.1500734214390602,469.0
150,Brooklyn,Manhattan Beach,Boro Zone,0.1278208721901076,0.1547344110854503,426.0
168,Bronx,Mott Haven/Port Morris,Boro Zone,0.1274224082370902,0.147783251231527,1987.0
11,Brooklyn,Bath Beach,Boro Zone,0.1270168759077152,0.1488833746898263,285.0
165,Brooklyn,Midwood,Boro Zone,0.1262019188082961,0.1419878296146044,848.0
19,Queens,Bellerose,Boro Zone,0.1261581760544034,0.165016501650165,363.0
69,Bronx,East Concourse/Concourse Village,Boro Zone,0.1253894513972478,0.1183431952662722,1194.0
218,Queens,Springfield Gardens North,Boro Zone,0.1237915468983524,0.1265822784810126,842.0
56,Queens,Corona,Boro Zone,0.1237802428659566,0.1436751691827173,942.0
22,Brooklyn,Bensonhurst West,Boro Zone,0.1235671593569572,0.147329650092081,717.0
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,0.1234621268805927,0.120918984280532,102.0
149,Brooklyn,Madison,Boro Zone,0.1232774331282907,0.1479028697571744,486.0
130,Queens,Jamaica,Boro Zone,0.122409461084981,0.1465320742429176,1708.0
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,0.1202215665567564,0.1372872048325096,642.0
185,Bronx,Pelham Parkway,Boro Zone,0.1200917221268868,0.1155624036979969,543.0
178,Brooklyn,Ocean Parkway South,Boro Zone,0.1198908170847206,0.1196172248803827,262.0
197,Queens,Richmond Hill,Boro Zone,0.119199146094448,0.108695652173913,1427.0
101,Queens,Glen Oaks,Boro Zone,0.1185988609244326,0.1225490196078431,348.0
177,Brooklyn,Ocean Hill,Boro Zone,0.1165275764484259,0.1340482573726541,756.0
20,Bronx,Belmont,Boro Zone,0.1162511027320839,0.1449086161879895,350.0
26,Brooklyn,Borough Park,Boro Zone,0.1160406588483805,0.0980392156862745,803.0
123,Brooklyn,Homecrest,Boro Zone,0.1160261530915287,0.1091703056768559,559.0
215,Queens,South Jamaica,Boro Zone,0.1149613759651783,0.0961538461538461,1014.0
241,Bronx,Van Cortlandt Village,Boro Zone,0.1148908360742646,0.1026694045174538,560.0
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,0.1136629963000484,0.1287001287001287,110.0
21,Brooklyn,Bensonhurst East,Boro Zone,0.1121629374278085,0.116822429906542,481.0
119,Bronx,Highbridge,Boro Zone,0.1092336276530614,0.0916666666666666,599.0
182,Bronx,Parkchester,Boro Zone,0.1088678354777459,0.092378752886836,625.0
210,Brooklyn,Sheepshead Bay,Boro Zone,0.1087055616515705,0.1020029673590504,868.0
240,Bronx,Van Cortlandt Park,Boro Zone,0.1051723959481663,0.0989399293286219,123.0
191,Queens,Queens Village,Boro Zone,0.1046678305873273,0.0694444444444444,648.0
71,Brooklyn,East Flatbush/Farragut,Boro Zone,0.1041194748195453,0.0938967136150234,590.0
147,Bronx,Longwood,Boro Zone,0.1037011155228463,0.0061919504643962,319.0
38,Queens,Cambria Heights,Boro Zone,0.1035072221934065,0.0961538461538461,458.0
159,Bronx,Melrose South,Boro Zone,0.1034194917291993,0.0746268656716417,774.0
139,Queens,Laurelton,Boro Zone,0.0997893222856578,0.0595238095238095,486.0
3,Bronx,Allerton/Pelham Gardens,Boro Zone,0.0993437209304499,0.0804289544235925,382.0
126,Bronx,Hunts Point,Boro Zone,0.0992104291803376,0.0811166325635779,375.0
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,0.0991213458758088,0.0837988826815642,675.0
108,Brooklyn,Gravesend,Boro Zone,0.0989677680319639,0.0726744186046511,339.0
29,Brooklyn,Brighton Beach,Boro Zone,0.0969060645522995,0.065252854812398,511.0
259,Bronx,Woodlawn/Wakefield,Boro Zone,0.0963721270517711,0.0609756097560975,443.0
91,Brooklyn,Flatlands,Boro Zone,0.0962375042083699,0.069284064665127,818.0
18,Bronx,Bedford Park,Boro Zone,0.0949890327964009,0.052219321148825,474.0
167,Bronx,Morrisania/Melrose,Boro Zone,0.0933790587618265,0.0,376.0
248,Bronx,West Farms/Bronx River,Boro Zone,0.092367195463897,0.0,338.0
136,Bronx,Kingsbridge Heights,Boro Zone,0.091986870647621,0.0,486.0
55,Brooklyn,Coney Island,Boro Zone,0.0917982142229579,0.00019305019305019305,821.0
205,Queens,Saint Albans,Boro Zone,0.0908012955307569,0.0,1174.0
122,Queens,Hollis,Boro Zone,0.0882875842210156,0.0500755857898715,326.0
169,Bronx,Mount Hope,Boro Zone,0.0873011093259321,0.0446428571428571,514.0
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,0.0853500494162166,0.0,554.0
39,Brooklyn,Canarsie,Boro Zone,0.0832070212937185,0.0,1008.0
86,Queens,Far Rockaway,Boro Zone,0.081777563420754,0.0,380.0
174,Bronx,Norwood,Boro Zone,0.0809822732907556,0.0,535.0
94,Bronx,Fordham South,Boro Zone,0.0774160520212594,0.0,198.0
183,Bronx,Pelham Bay,Boro Zone,0.0743397126578714,0.0,281.0
242,Bronx,Van Nest/Morris Park,Boro Zone,0.0737492140016777,0.0,733.0
78,Bronx,East Tremont,Boro Zone,0.0726407072674578,0.0,337.0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,0.0724308504022014,0.0,367.0
60,Bronx,Crotona Park East,Boro Zone,0.0710233842817051,0.0,240.0
250,Bronx,Westchester Village/Unionport,Boro Zone,0.0702532117401929,0.0,397.0
76,Brooklyn,East New York,Boro Zone,0.0700848596099954,0.0,1192.0
213,Bronx,Soundview/Castle Hill,Boro Zone,0.0699813835107388,0.0,907.0
235,Bronx,University Heights/Morris Heights,Boro Zone,0.069754191842884,0.0,579.0
47,Bronx,Claremont/Bathgate,Boro Zone,0.0684413688221987,0.0,310.0
212,Bronx,Soundview/Bruckner,Boro Zone,0.0679519208526924,0.0,381.0
32,Bronx,Bronxdale,Boro Zone,0.0663656343038777,0.0,330.0
117,Queens,Hammels/Arverne,Boro Zone,0.0663066005876366,0.0,372.0
222,Brooklyn,Starrett City,Boro Zone,0.0629595884364317,0.0,237.0
254,Bronx,Williamsbridge/Olinville,Boro Zone,0.053292669057489,0.0,593.0
81,Bronx,Eastchester,Boro Zone,0.0505386632382181,0.0,365.0
35,Brooklyn,Brownsville,Boro Zone,0.0505225175783059,0.0,585.0
51,Bronx,Co-Op City,Boro Zone,0.049310008577406,0.0,678.0
